feature,model_vars,default
bank_txn_balance_credit_gini_56d,model_vars_balance,-1000000
bank_txn_balance_credit_gini_7d,model_vars_balance,-1000000
bank_txn_balance_credit_gini_84d,model_vars_balance,-1000000
bank_txn_balance_credit_max_14d,model_vars_balance,-1000000
bank_txn_balance_credit_max_168d,model_vars_balance,-1000000
bank_txn_balance_credit_max_182d,model_vars_balance,-1000000
bank_txn_balance_credit_max_28d,model_vars_balance,-1000000
bank_txn_balance_credit_max_56d,model_vars_balance,-1000000
bank_txn_balance_credit_max_7d,model_vars_balance,-1000000
bank_txn_balance_credit_max_84d,model_vars_balance,-1000000
bank_txn_balance_credit_max_ratio_14d,model_vars_balance,-1000000
bank_txn_balance_credit_max_ratio_168d,model_vars_balance,-1000000
bank_txn_balance_credit_max_ratio_182d,model_vars_balance,-1000000
bank_txn_balance_credit_max_ratio_28d,model_vars_balance,-1000000
bank_txn_balance_credit_max_ratio_56d,model_vars_balance,-1000000
bank_txn_balance_credit_max_ratio_7d,model_vars_balance,-1000000
bank_txn_balance_credit_max_ratio_84d,model_vars_balance,-1000000
bank_txn_balance_credit_mean_14d,model_vars_balance,-1000000
bank_txn_balance_credit_mean_168d,model_vars_balance,-1000000
bank_txn_balance_credit_mean_182d,model_vars_balance,-1000000
bank_txn_balance_credit_mean_28d,model_vars_balance,-1000000
bank_txn_balance_credit_mean_56d,model_vars_balance,-1000000
bank_txn_balance_credit_mean_7d,model_vars_balance,-1000000
bank_txn_balance_credit_mean_84d,model_vars_balance,-1000000
bank_txn_balance_credit_no_txn_ratio_14d,model_vars_balance,-1000000
bank_txn_balance_credit_no_txn_ratio_168d,model_vars_balance,-1000000
bank_txn_balance_credit_no_txn_ratio_182d,model_vars_balance,-1000000
bank_txn_balance_credit_no_txn_ratio_28d,model_vars_balance,-1000000
bank_txn_balance_credit_no_txn_ratio_56d,model_vars_balance,-1000000
bank_txn_balance_credit_no_txn_ratio_7d,model_vars_balance,-1000000
bank_txn_balance_credit_no_txn_ratio_84d,model_vars_balance,-1000000
bank_txn_balance_credit_snapshot_last_14d,model_vars_balance,-1000000
bank_txn_balance_credit_snapshot_last_168d,model_vars_balance,-1000000
bank_txn_balance_credit_snapshot_last_182d,model_vars_balance,-1000000
bank_txn_balance_credit_snapshot_last_28d,model_vars_balance,-1000000
bank_txn_balance_credit_snapshot_last_56d,model_vars_balance,-1000000
bank_txn_balance_credit_snapshot_last_7d,model_vars_balance,-1000000
bank_txn_balance_credit_snapshot_last_84d,model_vars_balance,-1000000
bank_txn_balance_credit_std_14d,model_vars_balance,-1000000
bank_txn_balance_credit_std_168d,model_vars_balance,-1000000
bank_txn_balance_credit_std_182d,model_vars_balance,-1000000
bank_txn_balance_credit_std_28d,model_vars_balance,-1000000
bank_txn_balance_credit_std_56d,model_vars_balance,-1000000
bank_txn_balance_credit_std_7d,model_vars_balance,-1000000
bank_txn_balance_credit_std_84d,model_vars_balance,-1000000
bank_txn_balance_credit_sum_14d,model_vars_balance,-1000000
bank_txn_balance_credit_sum_168d,model_vars_balance,-1000000
bank_txn_balance_credit_sum_182d,model_vars_balance,-1000000
bank_txn_balance_credit_sum_28d,model_vars_balance,-1000000
bank_txn_balance_credit_sum_56d,model_vars_balance,-1000000
bank_txn_balance_credit_sum_7d,model_vars_balance,-1000000
bank_txn_balance_credit_sum_84d,model_vars_balance,-1000000
bank_txn_balance_credit_tail_ratio_14d,model_vars_balance,-1000000
bank_txn_balance_credit_tail_ratio_168d,model_vars_balance,-1000000
bank_txn_balance_credit_tail_ratio_182d,model_vars_balance,-1000000
bank_txn_balance_credit_tail_ratio_28d,model_vars_balance,-1000000
bank_txn_balance_credit_tail_ratio_56d,model_vars_balance,-1000000
bank_txn_balance_credit_tail_ratio_7d,model_vars_balance,-1000000
bank_txn_balance_credit_tail_ratio_84d,model_vars_balance,-1000000
bank_txn_balance_credit_top1_share_14d,model_vars_balance,-1000000
bank_txn_balance_credit_top1_share_168d,model_vars_balance,-1000000
bank_txn_balance_credit_top1_share_182d,model_vars_balance,-1000000
bank_txn_balance_credit_top1_share_28d,model_vars_balance,-1000000
bank_txn_balance_credit_top1_share_56d,model_vars_balance,-1000000
bank_txn_balance_credit_top1_share_7d,model_vars_balance,-1000000
bank_txn_balance_credit_top1_share_84d,model_vars_balance,-1000000
bank_txn_balance_cv_14d,model_vars_balance,-1000000
bank_txn_balance_cv_168d,model_vars_balance,-1000000
bank_txn_balance_cv_182d,model_vars_balance,-1000000
bank_txn_balance_cv_28d,model_vars_balance,-1000000
bank_txn_balance_cv_56d,model_vars_balance,-1000000
bank_txn_balance_cv_7d,model_vars_balance,-1000000
bank_txn_balance_cv_84d,model_vars_balance,-1000000
bank_txn_balance_debit_after_big_avg_drop_14d,model_vars_balance,-1000000
bank_txn_balance_debit_after_big_avg_drop_168d,model_vars_balance,-1000000
bank_txn_balance_debit_after_big_avg_drop_182d,model_vars_balance,-1000000
bank_txn_balance_debit_after_big_avg_drop_28d,model_vars_balance,-1000000
bank_txn_balance_debit_after_big_avg_drop_56d,model_vars_balance,-1000000
bank_txn_balance_debit_after_big_avg_drop_7d,model_vars_balance,-1000000
bank_txn_balance_debit_after_big_avg_drop_84d,model_vars_balance,-1000000
bank_txn_balance_debit_autocorr7_14d,model_vars_balance,-1000000
bank_txn_balance_debit_autocorr7_168d,model_vars_balance,-1000000
bank_txn_balance_debit_autocorr7_182d,model_vars_balance,-1000000
bank_txn_balance_debit_autocorr7_28d,model_vars_balance,-1000000
bank_txn_balance_debit_autocorr7_56d,model_vars_balance,-1000000
bank_txn_balance_debit_autocorr7_7d,model_vars_balance,-1000000
bank_txn_balance_debit_autocorr7_84d,model_vars_balance,-1000000
bank_txn_balance_debit_big_ratio_14d,model_vars_balance,-1000000
bank_txn_balance_debit_big_ratio_168d,model_vars_balance,-1000000
bank_txn_balance_debit_big_ratio_182d,model_vars_balance,-1000000
bank_txn_balance_debit_big_ratio_28d,model_vars_balance,-1000000
bank_txn_balance_debit_big_ratio_56d,model_vars_balance,-1000000
bank_txn_balance_debit_big_ratio_7d,model_vars_balance,-1000000
bank_txn_balance_debit_big_ratio_84d,model_vars_balance,-1000000
bank_txn_balance_debit_concentration_14d,model_vars_balance,-1000000
bank_txn_balance_debit_concentration_168d,model_vars_balance,-1000000
bank_txn_balance_debit_concentration_182d,model_vars_balance,-1000000
bank_txn_balance_debit_concentration_28d,model_vars_balance,-1000000
bank_txn_balance_debit_concentration_56d,model_vars_balance,-1000000
bank_txn_balance_debit_concentration_7d,model_vars_balance,-1000000
bank_txn_balance_debit_concentration_84d,model_vars_balance,-1000000
bank_txn_balance_debit_corr_14d,model_vars_balance,-1000000
bank_txn_balance_debit_corr_168d,model_vars_balance,-1000000
bank_txn_balance_debit_corr_182d,model_vars_balance,-1000000
bank_txn_balance_debit_corr_28d,model_vars_balance,-1000000
bank_txn_balance_debit_corr_56d,model_vars_balance,-1000000
bank_txn_balance_debit_corr_7d,model_vars_balance,-1000000
bank_txn_balance_debit_corr_84d,model_vars_balance,-1000000
bank_txn_balance_debit_cv_14d,model_vars_balance,-1000000
bank_txn_balance_debit_cv_168d,model_vars_balance,-1000000
bank_txn_balance_debit_cv_182d,model_vars_balance,-1000000
bank_txn_balance_debit_cv_28d,model_vars_balance,-1000000
bank_txn_balance_debit_cv_56d,model_vars_balance,-1000000
bank_txn_balance_debit_cv_7d,model_vars_balance,-1000000
bank_txn_balance_debit_cv_84d,model_vars_balance,-1000000
bank_txn_balance_debit_days_14d,model_vars_balance,-1000000
bank_txn_balance_debit_days_168d,model_vars_balance,-1000000
bank_txn_balance_debit_days_182d,model_vars_balance,-1000000
bank_txn_balance_debit_days_28d,model_vars_balance,-1000000
bank_txn_balance_debit_days_56d,model_vars_balance,-1000000
bank_txn_balance_debit_days_7d,model_vars_balance,-1000000
bank_txn_balance_debit_days_84d,model_vars_balance,-1000000
bank_txn_balance_debit_entropy_14d,model_vars_balance,-1000000
bank_txn_balance_debit_entropy_168d,model_vars_balance,-1000000
bank_txn_balance_debit_entropy_182d,model_vars_balance,-1000000
bank_txn_balance_debit_entropy_28d,model_vars_balance,-1000000
bank_txn_balance_debit_entropy_56d,model_vars_balance,-1000000
bank_txn_balance_debit_entropy_7d,model_vars_balance,-1000000
bank_txn_balance_debit_entropy_84d,model_vars_balance,-1000000
bank_txn_balance_debit_fortnight_amount_14d,model_vars_balance,-1000000
bank_txn_balance_debit_fortnight_amount_168d,model_vars_balance,-1000000
bank_txn_balance_debit_fortnight_amount_182d,model_vars_balance,-1000000
bank_txn_balance_debit_fortnight_amount_28d,model_vars_balance,-1000000
bank_txn_balance_debit_fortnight_amount_56d,model_vars_balance,-1000000
bank_txn_balance_debit_fortnight_amount_7d,model_vars_balance,-1000000
bank_txn_balance_debit_fortnight_amount_84d,model_vars_balance,-1000000
bank_txn_balance_debit_fortnight_days_14d,model_vars_balance,-1000000
bank_txn_balance_debit_fortnight_days_168d,model_vars_balance,-1000000
bank_txn_balance_debit_fortnight_days_182d,model_vars_balance,-1000000
bank_txn_balance_debit_fortnight_days_28d,model_vars_balance,-1000000
bank_txn_balance_debit_fortnight_days_56d,model_vars_balance,-1000000
bank_txn_balance_debit_fortnight_days_7d,model_vars_balance,-1000000
bank_txn_balance_debit_fortnight_days_84d,model_vars_balance,-1000000
bank_txn_balance_debit_freq_14d,model_vars_balance,-1000000
bank_txn_balance_debit_freq_168d,model_vars_balance,-1000000
bank_txn_balance_debit_freq_182d,model_vars_balance,-1000000
bank_txn_balance_debit_freq_28d,model_vars_balance,-1000000
bank_txn_balance_debit_freq_56d,model_vars_balance,-1000000
bank_txn_balance_debit_freq_7d,model_vars_balance,-1000000
bank_txn_balance_debit_freq_84d,model_vars_balance,-1000000
bank_txn_balance_debit_gap_max_14d,model_vars_balance,-1000000
