loan_regular,account_type,tag_level1,dr_cr,tag_level2,category
Loan Account,personal loan,LIABILITY,debit,Liability_Drawdown,External Transfers
Loan Account,personal loan,LIABILITY,debit,Liability_Drawdown,Fees
Loan Account,personal loan,LIABILITY,credit,Liability_Repayment,Unlabeled
Loan Account,personal loan,LIABILITY,credit,Liability_Repayment,All Other Credits
Loan Account,personal loan,LIABILITY,credit,Liability_Repayment,External Transfers
Loan Account,personal loan,LIABILITY,credit,Liability_Repayment,Information
Regular Account,trading,EXPENSE,debit,Department Stores,Department Stores
Regular Account,trading,EXPENSE,debit,Retail,Retail
Regular Account,savings,INCOME,credit,Other Income,All Other Credits
Regular Account,savings,INCOME,credit,Other Income,Automotive
Regular Account,transaction,EXPENSE,debit,Department Stores,Department Stores
Regular Account,savings,INCOME,credit,Centrelink,Centrelink
Regular Account,transaction,EXPENSE,debit,Retail,Retail
Regular Account,savings,INCOME,credit,Other Income,Department Stores
Regular Account,investments,EXPENSE,debit,Unlabeled,Unlabeled
Regular Account,savings,INCOME,credit,Other Income,Dining Out
Regular Account,savings,EXPENSE,debit,Unlabeled,Unlabeled
Regular Account,Unlabeled,LIABILITY,debit,Dishonours Fee,Dishonours
Regular Account,trading,EXPENSE,debit,Unlabeled,Unlabeled
Regular Account,savings,INCOME,credit,Other Income,Donations
Regular Account,transaction,EXPENSE,debit,Unlabeled,Unlabeled
Regular Account,savings,INCOME,credit,Other Income,Education
Regular Account,investments,EXPENSE,debit,Groceries,Groceries
Regular Account,savings,INCOME,credit,Other Income,Entertainment
Regular Account,investments,EXPENSE,debit,Pet Care,Pet Care
Regular Account,savings,INCOME,credit,Other Income,External Transfers
Regular Account,savings,EXPENSE,debit,Groceries,Groceries
Regular Account,savings,INCOME,credit,Other Income,Fees
Regular Account,savings,EXPENSE,debit,Pet Care,Pet Care
Regular Account,savings,INCOME,credit,Other Income,Gambling
Regular Account,trading,EXPENSE,debit,Groceries,Groceries
Regular Account,savings,INCOME,credit,Other Income,Groceries
Regular Account,trading,EXPENSE,debit,Pet Care,Pet Care
Regular Account,savings,INCOME,credit,Other Income,Gyms and other memberships
Regular Account,transaction,EXPENSE,debit,Groceries,Groceries
Regular Account,savings,INCOME,credit,Other Income,Health
Regular Account,transaction,EXPENSE,debit,Pet Care,Pet Care
Regular Account,savings,INCOME,credit,Other Income,Home Improvement
Regular Account,investments,EXPENSE,debit,Dining Out,Dining Out
Regular Account,savings,INCOME,credit,Other Income,Information
Regular Account,savings,INCOME,credit,Other Income,Insurance
Regular Account,investments,EXPENSE,debit,Donations,Donations
Regular Account,savings,INCOME,credit,Other Income,Internal Transfer
Regular Account,investments,EXPENSE,debit,Entertainment,Entertainment
Regular Account,investments,EXPENSE,debit,Gambling,Gambling
Regular Account,savings,INCOME,credit,Other Income,Personal Care
Regular Account,investments,EXPENSE,debit,Gyms and other memberships,Gyms and other memberships
Regular Account,savings,INCOME,credit,Other Income,Pet Care
Regular Account,investments,EXPENSE,debit,Subscription TV,Subscription TV
Regular Account,savings,INCOME,credit,Other Income,Rent
Regular Account,investments,EXPENSE,debit,Travel,Travel
Regular Account,savings,INCOME,credit,Other Income,Retail
Regular Account,savings,EXPENSE,debit,Dining Out,Dining Out
Regular Account,savings,INCOME,credit,Other Income,Subscription TV
Regular Account,savings,EXPENSE,debit,Donations,Donations
Regular Account,savings,INCOME,credit,Other Income,Telecommunications
Regular Account,savings,EXPENSE,debit,Entertainment,Entertainment
Regular Account,savings,INCOME,credit,Other Income,Transport
Regular Account,savings,EXPENSE,debit,Gambling,Gambling
Regular Account,savings,INCOME,credit,Other Income,Travel
Regular Account,savings,EXPENSE,debit,Gyms and other memberships,Gyms and other memberships
Regular Account,savings,INCOME,credit,Other Income,Utilities
Regular Account,savings,EXPENSE,debit,Subscription TV,Subscription TV
Regular Account,savings,INCOME,credit,Wages,Wages
Regular Account,savings,EXPENSE,debit,Travel,Travel
Regular Account,savings,INCOME,credit,Other Income,Unlabeled
Regular Account,trading,INCOME,credit,Other Income,All Other Credits
Regular Account,trading,EXPENSE,debit,Dining Out,Dining Out
Regular Account,trading,INCOME,credit,Centrelink,Centrelink
Regular Account,trading,INCOME,credit,Other Income,Department Stores
Regular Account,trading,EXPENSE,debit,Donations,Donations
Regular Account,trading,INCOME,credit,Other Income,Dining Out
Regular Account,trading,EXPENSE,debit,Entertainment,Entertainment
Loan Account,credit card,LIABILITY,debit,Dishonours Fee,Dishonours
Regular Account,trading,EXPENSE,debit,Subscription TV,Subscription TV
Regular Account,trading,EXPENSE,debit,Travel,Travel
Regular Account,trading,INCOME,credit,Other Income,External Transfers
Regular Account,transaction,EXPENSE,debit,Dining Out,Dining Out
Regular Account,transaction,EXPENSE,debit,Donations,Donations
Regular Account,trading,INCOME,credit,Other Income,Health
Regular Account,transaction,EXPENSE,debit,Entertainment,Entertainment
Regular Account,transaction,EXPENSE,debit,Gambling,Gambling
Regular Account,transaction,EXPENSE,debit,Gyms and other memberships,Gyms and other memberships
Regular Account,trading,INCOME,credit,Other Income,Internal Transfer
Regular Account,transaction,EXPENSE,debit,Subscription TV,Subscription TV
Regular Account,transaction,EXPENSE,debit,Travel,Travel
Regular Account,investments,EXPENSE,debit,Centrelink,Centrelink
Regular Account,savings,EXPENSE,debit,Centrelink,Centrelink
Regular Account,transaction,EXPENSE,debit,Centrelink,Centrelink
Regular Account,investments,EXPENSE,debit,Home Improvement,Home Improvement
Regular Account,investments,EXPENSE,debit,Rent,Rent
Regular Account,trading,INCOME,credit,Other Income,Transport
Regular Account,savings,EXPENSE,debit,Home Improvement,Home Improvement
Regular Account,savings,EXPENSE,debit,Rent,Rent
Regular Account,trading,EXPENSE,debit,Home Improvement,Home Improvement
Regular Account,trading,INCOME,credit,Other Income,Unlabeled
Regular Account,transaction,INCOME,credit,Other Income,Unlabeled
Regular Account,transaction,INCOME,credit,Other Income,All Other Credits
Regular Account,transaction,INCOME,credit,Other Income,Automotive
Regular Account,trading,EXPENSE,debit,Rent,Rent
Regular Account,transaction,INCOME,credit,Centrelink,Centrelink
Regular Account,transaction,EXPENSE,debit,Home Improvement,Home Improvement
Regular Account,transaction,INCOME,credit,Other Income,Department Stores
Regular Account,transaction,EXPENSE,debit,Rent,Rent
Regular Account,transaction,INCOME,credit,Other Income,Dining Out
Regular Account,investments,EXPENSE,debit,Health,Health
Loan Account,home loan,LIABILITY,debit,Dishonours Fee,Dishonours
Regular Account,investments,EXPENSE,debit,Personal Care,Personal Care
Regular Account,transaction,INCOME,credit,Other Income,Donations
Regular Account,savings,EXPENSE,debit,Health,Health
Regular Account,transaction,INCOME,credit,Other Income,Education
Regular Account,savings,EXPENSE,debit,Personal Care,Personal Care
Regular Account,transaction,INCOME,credit,Other Income,Entertainment
Regular Account,trading,EXPENSE,debit,Health,Health
Regular Account,transaction,INCOME,credit,Other Income,External Transfers
Regular Account,trading,EXPENSE,debit,Personal Care,Personal Care
Regular Account,transaction,INCOME,credit,Other Income,Fees
Regular Account,transaction,EXPENSE,debit,Health,Health
Regular Account,transaction,INCOME,credit,Other Income,Gambling
Regular Account,transaction,EXPENSE,debit,Personal Care,Personal Care
Regular Account,transaction,INCOME,credit,Other Income,Groceries
Loan Account,personal loan,LIABILITY,debit,Dishonours Fee,Dishonours
Regular Account,transaction,INCOME,credit,Other Income,Gyms and other memberships
Regular Account,investments,EXPENSE,debit,Fees,Fees
Regular Account,transaction,INCOME,credit,Other Income,Health
Regular Account,investments,EXPENSE,debit,Insurance,Insurance
Regular Account,transaction,INCOME,credit,Other Income,Home Improvement
Regular Account,investments,EXPENSE,debit,Overdrawn,Overdrawn
Regular Account,transaction,INCOME,credit,Other Income,Information
Regular Account,transaction,INCOME,credit,Other Income,Insurance
Loan Account,credit card,LIABILITY,credit,Refund_Or_Reversal,Dishonours
Regular Account,transaction,INCOME,credit,Other Income,Internal Transfer
Regular Account,savings,EXPENSE,debit,Fees,Fees
Regular Account,transaction,INCOME,credit,Other Income,Overdrawn
Regular Account,savings,EXPENSE,debit,Insurance,Insurance
Regular Account,transaction,INCOME,credit,Other Income,Personal Care
Regular Account,savings,EXPENSE,debit,Overdrawn,Overdrawn
Regular Account,transaction,INCOME,credit,Other Income,Pet Care
Regular Account,trading,EXPENSE,debit,Insurance,Insurance
Regular Account,transaction,INCOME,credit,Other Income,Rent
Loan Account,home loan,LIABILITY,credit,Refund_Or_Reversal,Dishonours
Regular Account,transaction,INCOME,credit,Other Income,Retail
Regular Account,transaction,EXPENSE,debit,Fees,Fees
Regular Account,transaction,INCOME,credit,Other Income,Subscription TV
Regular Account,transaction,EXPENSE,debit,Insurance,Insurance
Regular Account,transaction,INCOME,credit,Other Income,Telecommunications
Regular Account,transaction,EXPENSE,debit,Overdrawn,Overdrawn
Regular Account,transaction,INCOME,credit,Other Income,Transport
Regular Account,investments,EXPENSE,debit,Education,Education
Regular Account,transaction,INCOME,credit,Other Income,Travel
Regular Account,savings,EXPENSE,debit,Education,Education
Regular Account,transaction,INCOME,credit,Other Income,Utilities
Regular Account,transaction,EXPENSE,debit,Education,Education
Regular Account,transaction,INCOME,credit,Wages,Wages
Regular Account,investments,LIABILITY,credit,Refund_Or_Reversal,Dishonours
Regular Account,Unlabeled,LIABILITY,debit,Liability_Repayment,Credit Card Repayments
Regular Account,savings,LIABILITY,credit,Refund_Or_Reversal,Dishonours
Regular Account,transaction,LIABILITY,credit,Liability_Drawdown,Debt Consolidation
Regular Account,transaction,LIABILITY,credit,Liability_Drawdown,Non SACC Loans
Regular Account,transaction,LIABILITY,credit,Liability_Drawdown,SACC Loans
Regular Account,trading,LIABILITY,credit,Refund_Or_Reversal,Dishonours
