feature,model_vars,defalut,default
bank_txn_category_education_credit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_non_sacc_loans_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_dining_out_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_retail_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_subscription_tv_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_internal_transfer_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_external_transfers_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_travel_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_automotive_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_groceries_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_sacc_loans_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_education_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_telecommunications_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_department_stores_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_all_other_credits_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_pet_care_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_home_improvement_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_gyms_and_other_memberships_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_overdrawn_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_information_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_debt_collection_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_utilities_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_entertainment_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_transport_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_donations_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_rent_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_fees_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_debt_consolidation_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_gambling_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_insurance_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_centrelink_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_dishonours_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_credit_card_repayments_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_personal_care_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_health_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_wages_debit_amt_7d,model_vars_category,-1000000,-999999.99999
bank_txn_category_global_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_global_credit_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_global_debit_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_global_amt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_global_credit_amt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_global_debit_amt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_insurance_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_all_other_credits_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_non_sacc_loans_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_dining_out_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_retail_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_subscription_tv_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_internal_transfer_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_external_transfers_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_travel_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_groceries_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_centrelink_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_automotive_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_personal_care_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_education_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_sacc_loans_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_telecommunications_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_health_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_department_stores_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_pet_care_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_home_improvement_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_gyms_and_other_memberships_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_overdrawn_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_information_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_debt_collection_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_utilities_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_entertainment_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_transport_cnt_14d,model_vars_category,-1000000,-999999.99999
bank_txn_category_donations_cnt_14d,model_vars_category,-1000000,-999999.99999
